area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Jakkur,3,HRaniIb,1650,3,2,111
Super built-up  Area,Ready To Move,Haralur Road,2,,1243,2,2,46
Built-up  Area,Ready To Move,Yelahanka New Town,2,,680,1,1,80
Plot  Area,18-Aug,Whitefield,4,,1230,4,2,80
Super built-up  Area,Ready To Move,Koramangala,2,Jainaht,1300,2,2,82
Built-up  Area,Ready To Move,KR Puram,2,Hoston ,1000,2,1,44.5
Super built-up  Area,Ready To Move,Mahadevpura,2,Neisei ,1146,2,1,53.8
Super built-up  Area,Ready To Move,Hennagara,6,,1200,6,3,120
Super built-up  Area,18-Mar,Indira Nagar,3,,2601,4,,312
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,3,PrBayGa,2159,3,2,110
Super built-up  Area,Ready To Move,Whitefield,2,SSthamh,1255,2,2,40
Super built-up  Area,Ready To Move,Hebbal Kempapura,2,Vrensn ,1130,2,2,60
Super built-up  Area,Ready To Move,Padmanabhanagar,2,Shers S,1200,2,1,60
Built-up  Area,Ready To Move,Sarjapur  Road,2,ARineun,1040,2,1,37
Plot  Area,Ready To Move,TC Palaya,8,,1500,8,2,150
Plot  Area,Ready To Move,Byrathi Village,4,,906,3,2,55
Super built-up  Area,Ready To Move,Uttarahalli,2,Shony S,1180,2,1,41.3
Plot  Area,Ready To Move,Ullal Uppanagar,7,,1200,7,2,169
Plot  Area,Ready To Move,Govindpura,6,,850,7,2,100
Super built-up  Area,Ready To Move,KR Puram,2,,1200,2,3,47
Built-up  Area,Ready To Move,Sarjapur  Road,3,MJinele,1374,3,2,51
Super built-up  Area,Ready To Move,Vidyaranyapura,9,,4700,10,3,130
Super built-up  Area,19-Dec,Whitefield,1,Goted U,613 - 648,1,0,32.15
Plot  Area,Ready To Move, south,3,,2400,2,0,480
Super built-up  Area,Ready To Move,Haralur Road,2,,1027,2,2,44
Plot  Area,Ready To Move,Ittamadu,5,,1200,4,,130
Super built-up  Area,Ready To Move,Jalahalli,3,Tahtsla,2384,4,2,165
Super built-up  Area,19-Aug,Electronic City,3,,1033,2,2,28.41
Super built-up  Area,Ready To Move,Yelahanka,2,Neite T,1200,2,1,54
Built-up  Area,Ready To Move,Haralur Road,3,NDionas,2017,3,2,105
Plot  Area,Ready To Move,Rainbow Drive,3,,1500,3,2,138
Super built-up  Area,Ready To Move,Kamala Nagar,2,,700,2,0,43
Plot  Area,Ready To Move,Shampura,6,,1150,6,2,75
Super built-up  Area,Ready To Move,Kanakpura Road,3,,1495,2,2,52.33
Super built-up  Area,Ready To Move,Kothanur,2,,1302,2,1,68.5
Built-up  Area,18-Mar,Whitefield,1,Prtates,905,1,1,52
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1303,2,1,55.79
Built-up  Area,Ready To Move,Electronics City Phase 1,3,,1350,3,0,71
Super built-up  Area,Ready To Move,Gottigere,3,SMshi M,1380,2,2,95
Super built-up  Area,Ready To Move,Harlur,3,Shodsir,1620,3,1,110
Built-up  Area,Ready To Move,Chandapura,4,,4800,4,3,250
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Maager ,1000,2,1,38.5
Plot  Area,Ready To Move,Ramamurthy Nagar,3,,800,4,0,88
Super built-up  Area,18-Apr,Thanisandra,2,,1250,1,1,54
Built-up  Area,Ready To Move,3rd Block Koramangala,3,,1750,3,3,170
Super built-up  Area,Ready To Move,Anekal,3,,997,3,2,55
Super built-up  Area,15-Oct,Kothanur,3,Somumys,1760,3,,111
Super built-up  Area,Ready To Move,Yelahanka,2,PuziaVe,1322,2,2,75
Plot  Area,Ready To Move,Kanaka Nagar,3,,1365,3,0,99
Super built-up  Area,Ready To Move,Sahakara Nagar,3,HoAcela,1500,3,2,125
Super built-up  Area,Ready To Move,Kaggadasapura,3,Mancya ,1256,2,2,50
Super built-up  Area,Ready To Move,Brookefield,2,Neestna,941,2,2,48
Plot  Area,Ready To Move,Devanahalli,4,Soacyst,5000,4,3,465
Super built-up  Area,Ready To Move,Kanakpura Road,3,PuandHi,1665,3,2,86.58
Super built-up  Area,Ready To Move,Hennur Road,2,ChionCo,1414,2,,84.18
Super built-up  Area,Ready To Move,Chikkalasandra,3,,1270,2,3,55.25
Plot  Area,Ready To Move,Madiwala,3,,800,2,2,80
Plot  Area,Ready To Move,Kengeri Satellite Town,4,,4100,3,0,300
Built-up  Area,Ready To Move,Mathikere,6,,1800,3,,105
Built-up  Area,Ready To Move,Pattanagere,2,,850,2,0,35
Super built-up  Area,21-Mar,Kanakpura Road,1,GolusLi,712,1,1,38.44
Super built-up  Area,17-Dec,Rajaji Nagar,4,ProdsWe,2563 - 2733,5,0,251.5
Plot  Area,Ready To Move,Basaveshwara Nagar Yelahanka,3,,900,4,2,180
Plot  Area,Ready To Move,TC Palaya,2,,900,2,0,55
Super built-up  Area,Ready To Move,Hebbal,2,Thuse F,1200,2,1,49
Super built-up  Area,Ready To Move,Kengeri Satellite Town,1,,654,1,1,22
Super built-up  Area,Ready To Move,Peenya,2,,708,1,1,55
Plot  Area,Ready To Move,Singapura Village,4,,600,5,3,75
Built-up  Area,Ready To Move,Wilson Garden,3,SaageWi,1680,3,3,135
Super built-up  Area,Ready To Move,Jakkasandra Extension,2,,990,2,2,58
Super built-up  Area,Ready To Move,Uttarahalli,2,Suitea ,1380,2,1,42
Super built-up  Area,18-May,Hebbal,2,Arcia S,1088,2,2,62
Super built-up  Area,Ready To Move,Harlur,3,Zonce E,1414,3,2,77.5
Built-up  Area,Ready To Move,Seshadripuram,2,,1240,2,1,100
Built-up  Area,Ready To Move,Ganesha Block,3,,1810,3,3,118
Super built-up  Area,19-Dec,4th Block Jayanagar,3,,2005,3,2,240
Super built-up  Area,Ready To Move,Kothanur,2,,1185,2,2,58
Plot  Area,18-Oct,Whitefield,3,,1200,3,2,57.15
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1070,2,1,52
Super built-up  Area,Ready To Move,Shikaripalya,2,Maenara,1265,2,1,58
Built-up  Area,Ready To Move,Sahakara Nagar,2,,1100,2,1,55
Built-up  Area,Ready To Move,Friends Colony,2,SiidsGa,1035,2,2,44
Super built-up  Area,Ready To Move,Sonnenahalli,1,Skacak ,605 - 624,1,0,30.715
Built-up  Area,Ready To Move,2nd Block Jayanagar,2,,1000,2,1,97
Super built-up  Area,Ready To Move,Hegde Nagar,2,,1179,2,2,49.35
Super built-up  Area,Ready To Move,Vittasandra,3,Prlla C,1650,3,1,84
Plot  Area,Ready To Move,Malur Hosur Road,6,,2800,4,3,100
Plot  Area,Ready To Move,Lakshmipura Vidyaanyapura,8,,3500,6,2,120
Built-up  Area,Ready To Move,Nagaraja Garden,3,,1430,3,1,78.65
Super built-up  Area,Ready To Move,Marathahalli,3,Thowsil,1130,2,2,58
Super built-up  Area,Ready To Move,JP Nagar,3,SuncyRe,1850,2,,110
Super built-up  Area,Ready To Move,Hennur,3,,1340,3,2,54.24
Super built-up  Area,Ready To Move,Sarjapur  Road,4,Klark L,4260 - 4408,,,338
Plot  Area,Ready To Move,Nagawara Junction,2,,600,2,0,30
Super built-up  Area,Ready To Move,Banashankari,3,PrdgeSo,2582,5,2,250
Super built-up  Area,Ready To Move,Channasandra,2,,1160,2,1,55
Built-up  Area,Ready To Move,Hegganahalli,1,,1200,2,1,45
Built-up  Area,18-Aug,Rajanna Layout,2,,1116,2,1,37.6
Plot  Area,Ready To Move,Nagarbhavi  BDA Complex,3,,600,2,1,85
Super built-up  Area,Ready To Move,Sarakki Nagar,3,Sowerew,2663,4,1,338
Built-up  Area,Ready To Move,Devasthanagalu,2,CMhidal,1090,2,2,45
Super built-up  Area,Ready To Move,JP Nagar,2,DSillto,1100,2,1,45
Super built-up  Area,18-Aug,Kammasandra,3,DSOakil,1365,2,1,34.13
Super built-up  Area,20-Feb,Vijayanagar,3,Saahaat,1484,3,2,79.19
Super built-up  Area,Ready To Move,Green Glen Layout,3,Prodsm ,1630,3,2,68
Super built-up  Area,18-May,Whitefield,3,SMuilan,1451,2,2,52.43
Super built-up  Area,19-Jul,Kanakpura Road,2,Soazak ,1330,2,1,107
Super built-up  Area,Ready To Move,Thanisandra,3,NRncyrk,2127,3,2,135
Plot  Area,Ready To Move,Adityanagar,5,,875,5,3,120
Plot  Area,Ready To Move,Hallehalli,4,,1260,4,2,65
Super built-up  Area,Ready To Move,Sarjapur  Road,3,MJinele,1173,2,2,45.75
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,,1445,2,1,56
Super built-up  Area,Ready To Move,Jayamahal Extension,4,,2250,4,1,400
Plot  Area,18-Dec,Bannerghatta Road,3,Putere ,1500,4,2,239
Super built-up  Area,18-Nov,Thanisandra,3,Bhe 2ko,1349 - 3324,3,0,115.89
Super built-up  Area,Ready To Move,JP Nagar,2,MBncyh ,1197,2,1,47.88
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4,,1200,4,1,225
Super built-up  Area,Ready To Move,Sarjapur  Road,5,Maana E,3930,7,,329
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1450,3,3,62.4
Super built-up  Area,Ready To Move,Whitefield,2,SMuilan,1187,2,1,37.85
Plot  Area,Ready To Move,Wilson Garden,6,,4000,6,3,850
Super built-up  Area,18-Aug,Channasandra,2,,1050,2,2,41
Super built-up  Area,18-May,Panathur,3,Saite G,1370,2,2,54.8
Super built-up  Area,Ready To Move,Yelahanka,2,Pyikad ,1036,2,2,39.37
Super built-up  Area,18-Jun,JP Nagar,3,,1275,3,2,41.2
Super built-up  Area,Ready To Move,Old Madras Road,4,Brglede,2010,3,2,115
Super built-up  Area,Ready To Move,Thigalarapalya,2,,1418,2,2,106
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1265,2,2,46.6
Super built-up  Area,Ready To Move,Anandapura,3,ViensRK,1576,3,2,58
Super built-up  Area,Ready To Move,Dodda Nekkundi,2,,1148,2,1,56
Super built-up  Area,Ready To Move,Green View Layout,2,Makeser,1000,2,1,36
Super built-up  Area,Ready To Move,Kudlu,3,MJinala,1293,2,2,85
Plot  Area,18-May,TC Palaya,3,,1200,2,0,66
Super built-up  Area,Ready To Move,Munnekollal,2,Keids O,1210,2,3,75
Built-up  Area,Ready To Move,HSR Layout,2,SruntFa,1126,2,1,69
Built-up  Area,Ready To Move,Sarakki Nagar,3,,1840,4,1,175
Built-up  Area,Ready To Move,Vidyaranyapura,3,DSestil,1440,2,0,70
Built-up  Area,Ready To Move,Ramamurthy Nagar,3,SamesHo,1300,2,2,52
Super built-up  Area,Ready To Move,Thanisandra,2,Bhmesy ,1276,2,2,75
Plot  Area,Ready To Move,Gidada Konnenahalli,6,,600,4,2,105
Super built-up  Area,Ready To Move,Whitefield,2,Prtates,1216,2,1,83
Super built-up  Area,18-Apr,Marenahalli,1,,840,1,0,75
Plot  Area,Ready To Move,Sector 1 HSR Layout,5,,1240,5,3,300
Built-up  Area,Ready To Move,Sompura,2,Suiseit,1126,2,2,39
Plot  Area,Ready To Move,Mysore Road,1,,45,1,0,23
Super built-up  Area,18-May,Raja Rajeshwari Nagar,2,Cee 2du,1162,2,0,65
Super built-up  Area,Ready To Move,Whitefield,2,Nillsre,1301,2,2,65
Super built-up  Area,19-Dec,Devanahalli,1,Sabixtt,658,1,1,34
Plot  Area,Ready To Move,Sahakara Nagar,3,,1350,3,1,250
Super built-up  Area,Ready To Move,Whitefield,3,Toindls,2500,3,2,280
Built-up  Area,Ready To Move,1st Phase JP Nagar,1,Opamaan,78.03Sq. Meter,1,1,63
Built-up  Area,Ready To Move,Chandapura,3,Vailsaf,1208.51,3,2,42
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1133,2,2,38.41
Super built-up  Area,Ready To Move,Shettigere,3,LendaVi,1760,2,1,116
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,52
Super built-up  Area,Ready To Move,Sarjapur,2,DSousyl,940,2,1,25.38
Super built-up  Area,Ready To Move,Badavala Nagar,2,CMDewun,1145,2,2,57
Super built-up  Area,Ready To Move,Bannerghatta Road,2,SNity S,1255 - 1350,2,0,67.73
Built-up  Area,Ready To Move,Rahat Bagh,4,Saaintv,3900,5,1,550
Super built-up  Area,Ready To Move,Omarbagh Layout,4,SNtua S,3300 - 3335,5,0,268.5
Built-up  Area,Ready To Move,Dasarahalli,2,,1300,2,2,50
Super built-up  Area,Ready To Move,Malleshwaram,3,Sariaat,2475,4,3,326
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3,SGncy R,2040,3,,200
Built-up  Area,Ready To Move,Hosakerehalli,1,,1200,1,0,150
Plot  Area,Ready To Move,Jigani,4,,2420,4,1,190
Built-up  Area,Ready To Move,Thubarahalli,2,ShdhiSa,1216,2,1,80
Super built-up  Area,Ready To Move,Tumkur Road,3,Soire A,1459,2,1,110
Super built-up  Area,Ready To Move,Jakkur,3,Soral C,1622,2,0,80
Super built-up  Area,Ready To Move,Kanakpura Road,3,PuandHi,1843,3,2,85
Super built-up  Area,20-Jan,Badavala Nagar,2,DNncasa,1274,2,1,81
Plot  Area,Ready To Move,Chikkasandra,2,,600,1,1,52
Super built-up  Area,Ready To Move,Malleshpalya,3,KencyRe,1430,2,1,69.5
Plot  Area,Ready To Move,Kammanahalli,4,,1800,2,0,280
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1565,2,2,57.91
Super built-up  Area,Ready To Move, Devarabeesana Halli,3,Sorisa ,1670,3,2,160
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3,RothaVa,1695,3,2,150
Super built-up  Area,Ready To Move,Akshayanagara West,2,ISeekon,1410,2,2,75
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2,,1060,2,3,42
Built-up  Area,Ready To Move,Sarjapur  Road,2,,1120,2,2,50
Plot  Area,Ready To Move,Hosa Road,2,,880,2,0,50
Super built-up  Area,19-Dec,Jalahalli,2,DSata S,1083,2,1,32.49
Super built-up  Area,Ready To Move,Dodda Nekkundi,3,,1435,3,3,57.2
Super built-up  Area,Ready To Move,Doddakallasandra,3,,1425,2,2,56.99
Super built-up  Area,Ready To Move,Arekere,2,Chiteny,900,2,3,50
Built-up  Area,18-Feb,Escorts Colony,5,,2400,5,2,93
Built-up  Area,21-Dec,Thanisandra,1,Bhe 2ko,693,1,1,34.3
Plot  Area,Ready To Move,Kengeri,3,,600,3,1,90
Super built-up  Area,20-Dec,Electronic City,4,KonteiT,2435,4,3,119
Super built-up  Area,18-Aug,Iblur Village,3,DNionfl,1920,3,2,150
Super built-up  Area,18-Mar,Electronic City,1,Prarkun,630,1,1,47
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,50
Plot  Area,Ready To Move,Hulimavu,5,,1200,5,0,101
Super built-up  Area,Ready To Move,Nagavarapalya,1,PuonsSe,705,1,1,55
Super built-up  Area,18-Dec,Srinivasa Nagar,3,,1200,2,2,75.6
Super built-up  Area,Ready To Move,Mahadevpura,2,3Codeli,1532,2,2,62
Super built-up  Area,Ready To Move,Rajiv Nagar,2,PuoodSk,1330,2,1,93
Plot  Area,Ready To Move,3rd Block Hrbr Layout,4,,1200,3,1,210
Built-up  Area,Ready To Move,Sarjapur  Road,3,Nauha G,1530,2,2,60
Super built-up  Area,Ready To Move,Kasavanhalli,2,,1105,2,2,42
Plot  Area,Ready To Move,1st Phase JP Nagar,2,,1566,2,0,180
Super built-up  Area,18-Jul,Harlur,3,Shodsir,1630,3,1,95.1
Built-up  Area,Ready To Move,5th Phase JP Nagar,2,,1256,2,1,62.8
Built-up  Area,Ready To Move,Banashankari,6,Giaver ,1200,6,2,180
Built-up  Area,Ready To Move,Brookefield,3,Saowson,1595,2,3,75
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Hiestre,1000,2,2,53
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3,,1475,2,2,58.99
Plot  Area,18-May,"asha township, off hennur road",5,,2400,5,3,285
Super built-up  Area,18-May,Electronic City Phase II,2,Sryalan,1000,2,1,28.88
Plot  Area,Ready To Move,1A Block Koramangala,4,,2360,4,1,650
Super built-up  Area,Ready To Move,Uttarahalli,3,,1737,2,3,95
Super built-up  Area,18-Aug,Electronic City Phase II,2,Sryalan,1000,2,1,28.88
Super built-up  Area,Ready To Move,Near International Airport,4,,2100,4,2,150
Built-up  Area,Ready To Move,Hosakerehalli,8,,3600,6,1,145
Built-up  Area,Ready To Move,Mysore Road,2,PrawnRa,883,2,1,50
Super built-up  Area,Ready To Move,Haralur Road,2,,1243,2,2,46
Super built-up  Area,Ready To Move,BTM Layout,3,Raide P,1776,2,3,75
Super built-up  Area,19-Dec,Anjanapura,3,DSapeto,1347,2,1,37.72
Super built-up  Area,Ready To Move,Whitefield,3,KKdenng,1330,2,2,55
Plot  Area,Ready To Move,Sector 1 HSR Layout,2,,600,2,1,120
Built-up  Area,Ready To Move,Rajaji Nagar,4,,3730,4,3,370
Super built-up  Area,Ready To Move,Harlur,3,SomonCi,1459,3,2,135
Super built-up  Area,19-Dec,Thanisandra,4,Bhe 2ko,2259,5,2,135
Built-up  Area,Ready To Move,JP Nagar,7,,2700,4,1,160
Super built-up  Area,Ready To Move,Gubbalala,2,,1008,2,2,32.25
Super built-up  Area,Ready To Move,NTI Layout,2,Vaent V,1200,2,2,52.5
Super built-up  Area,18-May,Vasanth nagar,4,Dheusag,2328,4,1,528
Plot  Area,Ready To Move,BTM 1st Stage,7,,600,7,3,110
Super built-up  Area,Ready To Move,Electronic City,2,Itelaa ,660,1,1,15.5
Super built-up  Area,Ready To Move,Rajaji Nagar,3,Brway G,1800,2,2,250
Super built-up  Area,Ready To Move,Rajaji Nagar,4,Brway G,3100,4,3,550
Super built-up  Area,19-Aug,Yelahanka,2,SMllay ,1180 - 1630,2,0,50.58
Super built-up  Area,18-May,Yelahanka,1,Prensya,602,1,1,26
Super built-up  Area,Ready To Move,Marathahalli,3,Asintas,1710,3,2,100
Super built-up  Area,Ready To Move,JP Nagar,3,Adaveth,1500,2,3,82
Built-up  Area,Ready To Move,Glass Factory Layout,3,VMlet C,1539,3,2,60
Plot  Area,Ready To Move,Fraser town,6,,806,3,1,128
Super built-up  Area,20-Dec,Judicial Layout,3,PrarePa,1100,2,1,53
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1151,2,1,49
Super built-up  Area,Ready To Move,Dasappa Layout,2,,920,2,1,46
Super built-up  Area,Ready To Move,Kathriguppe,3,Prone M,1350,3,3,78.3
Super built-up  Area,Ready To Move,Bannerghatta Road,2,Shissut,1200,2,2,65
Super built-up  Area,Ready To Move,Thanisandra,2,,1265,2,1,78
Plot  Area,Ready To Move,Chelekare,8,,600,6,2,60
Super built-up  Area,18-Apr,Sarjapur  Road,3,PualeSk,1700,3,2,93.5
Built-up  Area,Ready To Move,Ramamurthy Nagar,3,,1600,3,0,75
Built-up  Area,Ready To Move,4th T block Jayanagar,4,,1550,4,1,120
Built-up  Area,Ready To Move,R.T. Nagar,3,SiineSu,1560,3,3,125
Plot  Area,18-Jan,Horamavu Agara,6,,1000,5,3,98
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,46
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4,,1200,4,1,160
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Arldsyo,1403,3,1,56
Super built-up  Area,Ready To Move,Doddakallasandra,2,,1010,2,1,40.39
Super built-up  Area,Ready To Move,Tumkur Road,3,Sahtsva,1416,3,1,94
Super built-up  Area,Ready To Move,Kanakpura Road,2,,1628,2,2,68
Plot  Area,Ready To Move,Chamrajpet,4,,1660.4,4,2,211
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,Eladero,1680,3,2,125
Super built-up  Area,Ready To Move,Doddathoguru,3,Prora F,1595,3,3,62
Super built-up  Area,Ready To Move,Kanakpura Road,3,Niacesa,1507,2,3,95
Super built-up  Area,Ready To Move,Frazer Town,3,Prook M,2560,3,,288
Super built-up  Area,Ready To Move,Hennur Road,3,SaireSa,1949,3,1,133
Plot  Area,Ready To Move,BTM 2nd Stage,2,,800,2,1,175
Built-up  Area,18-Dec,Electronic City Phase II,2,Sryalan,1000,2,1,28.88
Super built-up  Area,20-Jun,Sonam Layout,2,,905,2,1,50
Super built-up  Area,Ready To Move,Hosakerehalli,3,Taonte ,2480,3,2,245
Super built-up  Area,Ready To Move,CR Layout,3,,1495,3,,200
Super built-up  Area,Ready To Move,Kaikondrahalli,3,,1605,3,3,105
Built-up  Area,Ready To Move,Bommanahalli,2,,1290,2,1,73
Super built-up  Area,Ready To Move,Yelahanka,2,Rarthne,1100,2,1,60
Super built-up  Area,Ready To Move,Vishveshwarya Layout,6,,2100,6,0,92
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,,995,2,1,49.8
Plot  Area,Ready To Move,Banashankari Stage II,2,,500,2,1,55
Super built-up  Area,Ready To Move,Rajaji Nagar,4,PhestOn,3526,4,3,598
Super built-up  Area,Ready To Move,Gottigere,3,Apentir,1425,2,2,47
Super built-up  Area,Ready To Move,BTM 4th Stage,3,,1455,2,2,55
Super built-up  Area,Ready To Move,Jalahalli West,1,Prntsax,550,1,1,23
Super built-up  Area,Ready To Move,Uttarahalli,3,Shony S,1385,2,2,48.48
Plot  Area,Ready To Move,Vishveshwarya Layout,4,,7000,4,,210
Super built-up  Area,Ready To Move,Srinivasa Nagar,5,,4000,3,0,130
Super built-up  Area,18-May,Gollahalli,2,,1060,2,1,53
Super built-up  Area,Ready To Move,AGS Layout,3,,1080,2,2,75
Built-up  Area,Ready To Move,HBR Layout,3,Giersin,1783,3,2,125
Super built-up  Area,18-Mar,Haralur Road,3,SNnia E,1520,2,2,90
Super built-up  Area,Ready To Move,Sarjapur  Road,2,SavanBr,1060,2,1,55
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1267,2,1,54.35
Super built-up  Area,Ready To Move,Whitefield,2,,1155,2,2,55
Built-up  Area,Ready To Move,Karuna Nagar,3,CoinoCu,2500,3,2,180
Super built-up  Area,Ready To Move,Bannerghatta Road,2,MNikaas,1240,2,1,65
Super built-up  Area,Ready To Move,Gollahalli,3,MJlese ,1570,3,2,78
Super built-up  Area,Ready To Move,NGR Layout,2,,1019,2,1,45.9
Super built-up  Area,Ready To Move,Whitefield,2,Veale R,1355,3,3,76
Super built-up  Area,Ready To Move,Arekempanahalli,3,,1537,3,2,110
Super built-up  Area,Ready To Move,Whitefield,4,UKe 2nz,4075,5,3,226
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1550,3,3,52.45
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,Neess P,1100,2,1,50
Super built-up  Area,Ready To Move, Devarabeesana Halli,3,Sorisa ,1750,3,2,150
Super built-up  Area,18-Mar,9th Phase JP Nagar,2,HMigond,1466,2,2,71
Super built-up  Area,Ready To Move,Rachenahalli,3,Sovar S,1550,3,2,72.5
Super built-up  Area,Ready To Move,Akshaya Nagar,3,DLhtsnd,2300,4,3,102
Super built-up  Area,19-Aug,Kengeri,1,VBn 2lm,540,1,1,22.5
Plot  Area,Ready To Move,8th Phase JP Nagar,3,Hincy V,950,3,2,130
Built-up  Area,Ready To Move,Chamundi Nagar,7,,2800,7,1,250
Super built-up  Area,Ready To Move,Silk Board,2,,1020,2,3,48
Super built-up  Area,Ready To Move,Cunningham Road,3,LeDuvMy,2880,3,2,501
Super built-up  Area,Ready To Move,Hebbal,3,Prersis,1987,4,2,165
Super built-up  Area,Ready To Move,Hoodi,2,Keers S,1305,2,1,75
Built-up  Area,Ready To Move,Sarjapur,4,,2100,3,1,125
Built-up  Area,18-Dec,Electronic City,2,,1125,2,1,32.5
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2,,1225,2,2,49.5
Super built-up  Area,Ready To Move,Hennur,2,,1255,2,1,55.5
Super built-up  Area,Ready To Move,MRCR Layout,2,,1191,2,1,90
Plot  Area,Ready To Move,Uttarahalli,6,,3600,6,2,303
Built-up  Area,18-Dec,Electronic City,2,,1165,2,1,33.64
Super built-up  Area,18-Apr,Kacharakanahalli,2,,865,2,1,35.11
Super built-up  Area,Ready To Move,Nagarbhavi,3,,1850,2,2,88
Super built-up  Area,Ready To Move,Marsur,2,Asara S,497,1,1,17
Super built-up  Area,19-Mar,Hennur Road,2,Puachal,1232,2,2,89
Super built-up  Area,21-Nov,Thanisandra,3,Bhe 2ko,1732,3,3,85.73
Super built-up  Area,Ready To Move,Yelahanka,3,PuziaVe,1614,2,1,100
Built-up  Area,Ready To Move,Magadi Road,2,Jaaveha,600,1,1,22
Super built-up  Area,Ready To Move,Thigalarapalya,3,Prtanha,2072,4,2,155
Super built-up  Area,Ready To Move,Electronic City,2,Itvir M,919,2,2,34
Built-up  Area,Ready To Move,Shettihalli,4,,2100,4,1,90
Built-up  Area,Ready To Move,Shampura,4,,672,3,1,54
Built-up  Area,Ready To Move,J C Nagar,8,,800,6,3,110
Plot  Area,Ready To Move,Marsur,3,AreraRe,1200,3,1,150
Super built-up  Area,Ready To Move,OLd Gurappanapalya,4,SoliaMa,2849,5,,250
Built-up  Area,Ready To Move,Doctors Layout,2,Mavelr ,1000,2,2,42
Super built-up  Area,Ready To Move,Whitefield,2,Prtates,1216,2,1,75
Super built-up  Area,Ready To Move,Lingadheeranahalli,4,Soiewre,2245,4,2,154
Super built-up  Area,18-Feb,Bannerghatta Road,3,Baanise,1476,3,1,125
Super built-up  Area,Ready To Move,Ambedkar Nagar,3,SoechHa,1852,3,2,130
Super built-up  Area,18-Aug,Udaya Nagar,2,,1225,2,2,47
Super built-up  Area,Ready To Move,Panathur,3,Skinaa ,1597,3,1,67.12
Super built-up  Area,19-Dec,Jakkur,3,Ceezey ,2423,4,3,160
Super built-up  Area,19-Mar,Marathahalli,2,PrensKe,1152,2,1,90
Super built-up  Area,Ready To Move,Harlur,3,,1762,3,2,133
Plot  Area,Ready To Move,Kammasandra,3,Daden G,1400,3,2,92
Super built-up  Area,Ready To Move,Rachenahalli,3,Sovar S,1530,2,2,74.4
Plot  Area,Ready To Move,New Thippasandra,6,,2400,6,3,400
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1185,2,2,40.17
Super built-up  Area,18-May,Yelahanka,3,Miitat ,1890,3,2,108
Super built-up  Area,Ready To Move,Varthur Road,3,,1247,2,2,58
Plot  Area,Ready To Move,1st Block Jayanagar,8,,700,4,,104
Plot  Area,Ready To Move,HRBR Layout,6,,1000,6,3,275
Super built-up  Area,Ready To Move,Bellandur,2,,1201,2,2,59.99
Built-up  Area,18-Feb,Gunjur Palya,2,BDectou,830,2,2,40
Built-up  Area,18-Jul,Electronic City Phase II,2,Sryalan,1165,2,1,30.29
Super built-up  Area,Ready To Move,Bommanahalli,2,KancyRe,1100,1,2,55
Built-up  Area,Ready To Move,9th Phase JP Nagar,3,ImiteEl,1890,2,,93
Super built-up  Area,Ready To Move,Maithri Layout,3,ItAnuna,1685,3,2,60
Super built-up  Area,Ready To Move,Sarakki Nagar,4,Sowerew,3131,4,3,349
Super built-up  Area,Ready To Move,Battarahalli,2,,1165,2,1,43
Super built-up  Area,Ready To Move,Kachanayakanahalli,2,ICoolon,827,2,1,45
Plot  Area,Ready To Move,Gangondanahalli,3,,396,2,0,48
Plot  Area,Ready To Move,Uttarahalli,4,,1200,4,3,179
Built-up  Area,Ready To Move,Electronics City Phase 1,1,Prmes H,635,1,0,26
Built-up  Area,Ready To Move,Whitefield,4,Prtates,4000,4,3,380
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,2,ShtalCr,1050,2,1,50
